chromatin_code,motif_type,Motif Type,Node A,Node B,Node C,Node D,p_value,real_count,random_mean_count,log_fold_change,
13,3333,,repressed,weak,weak,weak,0,2,0,0.693147181,
22,3333,,repressed,repressed,weak,weak,0,2,0,0.693147181,
31,3333,,repressed,repressed,repressed,weak,0,5,0,1.609437912,
40,3333,,repressed,repressed,repressed,repressed,0,4,0,1.386294361,
112,3333,,poised,repressed,weak,weak,0,1,0,0,
220,3333,,poised,poised,repressed,repressed,0,1,0,0,
1012,3333,,active,repressed,weak,weak,0,6,0,1.791759469,
1021,3333,,active,repressed,repressed,weak,0,16,0,2.772588722,
1030,3333,,active,repressed,repressed,repressed,0,7,0,1.945910149,
1210,3333,,active,poised,poised,repressed,0,1,0,0,
2002,3333,,active,active,weak,weak,0,4,0,1.386294361,
2011,3333,,active,active,repressed,weak,0,6,0,1.791759469,
2020,3333,,active,active,repressed,repressed,0,3,0,1.098612289,
2101,3333,,active,active,poised,weak,0,2,0,0.693147181,
2110,3333,,active,active,poised,repressed,0,2,0,0.693147181,
3001,3333,,active,active,active,weak,0,9,0,2.197224577,
3010,3333,,active,active,active,repressed,0,7,0,1.945910149,
4000,3333,,active,active,active,active,0,14,0,2.63905733,
20011,3322,,repressed,weak,weak,weak,0,6,0,1.791759469,
20020,3322,,repressed,weak,repressed,weak,0,11,0,2.397895273,
20110,3322,,poised,weak,repressed,weak,0,1,0,0,
21001,3322,,active,weak,weak,weak,0,9,0,2.197224577,
21010,3322,,active,weak,repressed,weak,0,9,0,2.197224577,
21100,3322,,active,weak,poised,weak,0,1,0,0,
22000,3322,,active,weak,active,weak,0,10,0,2.302585093,
40000,2222,,weak,weak,weak,weak,0,2,0,0.693147181,
110002,3322,,weak,repressed,weak,weak,0,5,0,1.609437912,
110011,3322,,repressed,repressed,weak,weak,0,18,0,2.890371758,
110020,3322,,repressed,repressed,repressed,weak,0,22,0,3.091042453,
111001,3322,,active,repressed,weak,weak,0,23,0,3.135494216,
111010,3322,,active,repressed,repressed,weak,0,26,0,3.258096538,
111100,3322,,active,repressed,poised,weak,0,1,0,0,
112000,3322,,active,repressed,active,weak,0,20,0,2.995732274,
130000,2222,,repressed,weak,weak,weak,0,6,1,1.098612289,
200002,3322,,weak,repressed,weak,repressed,0,5,0,1.609437912,
200011,3322,,repressed,repressed,weak,repressed,0,36,0,3.583518938,
200020,3322,,repressed,repressed,repressed,repressed,0,37,0,3.610917913,
200101,3322,,poised,repressed,weak,repressed,0,1,0,0,
200110,3322,,poised,repressed,repressed,repressed,0,1,0,0,
200200,3322,,poised,repressed,poised,repressed,0,2,0,0.693147181,
201001,3322,,active,repressed,weak,repressed,0,7,0,1.945910149,
201010,3322,,active,repressed,repressed,repressed,0,21,0,3.044522438,
202000,3322,,active,repressed,active,repressed,0,9,0,2.197224577,
220000,2222,,repressed,repressed,weak,weak,0,23,1.052631579,2.416371549,
310000,2222,,repressed,repressed,repressed,weak,0,26,1,2.564949357,
400000.00,2222,III,repressed,repressed,repressed,repressed,0,52,1.00,3.26,½
1010011,3322,,repressed,poised,weak,weak,0,2,0,0.693147181,10210000
1010020,3322,,repressed,poised,repressed,weak,0,1,0,0,20002000
1012000,3322,,active,poised,active,weak,0,1,0,0,100110010
1100011,3322,,repressed,poised,weak,repressed,0,4,0,1.386294361,100200010
1100020,3322,,repressed,poised,repressed,repressed,0,3,0,1.098612289,110010010
1101001,3322,,active,poised,weak,repressed,0,1,0,0,110011000
1101010,3322,,active,poised,repressed,repressed,0,1,0,0,110101000
1102000,3322,,active,poised,active,repressed,0,1,0,0,120001000
1120000,2222,,poised,repressed,weak,weak,0,2,0,0.693147181,300001000
1210000,2222,,poised,repressed,repressed,weak,0,2,1,0,1000110001
1300000,2222,,poised,repressed,repressed,repressed,0,4,0,1.386294361,1000110010
10010002,3322,,weak,active,weak,weak,0,6,0,1.791759469,1000111000
10010011,3322,,repressed,active,weak,weak,0,18,0,2.890371758,1000200001
10010020,3322,,repressed,active,repressed,weak,0,18,0,2.890371758,1000200010
10010101,3322,,poised,active,weak,weak,0,1,0,0,1010010001
10010110,3322,,poised,active,repressed,weak,0,1,0,0,1010010010
10011001,3322,,active,active,weak,weak,0,26,0,3.258096538,1010011000
10011010,3322,,active,active,repressed,weak,0,20,0,2.995732274,1010100010
10011100,3322,,active,active,poised,weak,0,2,0,0.693147181,1010101000
10012000,3322,,active,active,active,weak,0,38,0,3.63758616,1020001000
10030000,2222,,active,weak,weak,weak,0,15,1,2.014903021,1E+11
10100002,3322,,weak,active,weak,repressed,0,10,0,2.302585093,1E+11
10100011,3322,,repressed,active,weak,repressed,0,26,0,3.258096538,1E+11
10100020,3322,,repressed,active,repressed,repressed,0,24,0,3.17805383,1.0001E+11
10101001,3322,,active,active,weak,repressed,0,30,0,3.401197382,1.0001E+11
10101010,3322,,active,active,repressed,repressed,0,37,0,3.610917913,1.0001E+11
10102000,3322,,active,active,active,repressed,0,26,0,3.258096538,1.0001E+11
10120000,2222,,active,repressed,weak,weak,0,43,1,3.068052935,1.0001E+11
10210000.00,2222,III,active,repressed,repressed,weak,0,53,1.03,3.26,1.0002E+11
10300000,2222,,active,repressed,repressed,repressed,0,45,1,3.113515309,2.0002E+11
11000011,3322,,repressed,active,weak,poised,0,1,0,0,2.001E+11
11000020,3322,,repressed,active,repressed,poised,0,2,0,0.693147181,3E+11
11000110,3322,,poised,active,repressed,poised,0,1,0,0,
11001001,3322,,active,active,weak,poised,0,2,0,0.693147181,
11001010,3322,,active,active,repressed,poised,0,2,0,0.693147181,
11001100,3322,,active,active,poised,poised,0,1,0,0,
11002000,3322,,active,active,active,poised,0,5,0,1.609437912,
11110000,2222,,active,poised,repressed,weak,0,3,1,0.405465108,
11200000,2222,,active,poised,repressed,repressed,0,4,1,0.693147181,
20000002,3322,,weak,active,weak,active,0,1,0,0,
20000011,3322,,repressed,active,weak,active,0,9,0,2.197224577,
20000020,3322,,repressed,active,repressed,active,0,9,0,2.197224577,
20000101,3322,,poised,active,weak,active,0,1,0,0,
20001001,3322,,active,active,weak,active,0,23,0,3.135494216,
20001010,3322,,active,active,repressed,active,0,15,0,2.708050201,
20001100,3322,,active,active,poised,active,0,2,0,0.693147181,
20002000.00,3322,II,active,active,active,active,0,95,0.00,4.55,
20020000,2222,,active,active,weak,weak,0,28,1,2.63905733,
20110000,2222,,active,active,repressed,weak,0,50,1.027777778,3.205082503,
20200000,2222,,active,active,repressed,repressed,0,31,1,2.740840024,
21010000,2222,,active,active,poised,weak,0,5,0,1.609437912,
21100000,2222,,active,active,poised,repressed,0.004,1,1,-0.693147181,
30010000,2222,,active,active,active,weak,0,39,1,2.970414466,
30100000,2222,,active,active,active,repressed,0,15,1.035714286,1.997203443,
31000000,2222,,active,active,active,poised,0,2,1,0,
40000000,2222,,active,active,active,active,0,29,1,2.674148649,
100020001,3221,,weak,weak,weak,weak,0,6,1.5,0.875468737,
100020010,3221,,weak,weak,repressed,weak,0,21,1,2.351375257,
100020100,3221,,weak,weak,poised,weak,0,2,0,0.693147181,
100021000,3221,,weak,weak,active,weak,0,25,1,2.525728644,
100110001,3221,,repressed,weak,weak,weak,0,31,1.333333333,2.586689344,
100110010.00,3221,IV,repressed,weak,repressed,weak,0,63,1.67,3.16,
100110100,3221,,repressed,weak,poised,weak,0.004,1,1,-0.693147181,
100111000,3221,,repressed,weak,active,weak,0,37,1.4,2.735449175,
100200001,3221,,repressed,weak,weak,repressed,0,27,1,2.602689685,
100200010.00,3221,IV,repressed,weak,repressed,repressed,0,55,1.40,3.13,
100201000,3221,,repressed,weak,active,repressed,0,27,1.25,2.48490665,
101011000,3221,,poised,weak,active,weak,0,2,0,0.693147181,
101100001,3221,,poised,weak,weak,repressed,0,2,0,0.693147181,
101100010,3221,,poised,weak,repressed,repressed,0.002,2,3,-0.693147181,
101100100,3221,,poised,weak,poised,repressed,0,1,0,0,
101101000,3221,,poised,weak,active,repressed,0,3,0,1.098612289,
110010001,3221,,active,weak,weak,weak,0,42,1.285714286,2.910991045,
110010010.00,3221,IV,active,weak,repressed,weak,0,57,1.47,3.14,
110010100,3221,,active,weak,poised,weak,0,6,2,0.693147181,
110011000.00,3221,IV,active,weak,active,weak,0,93,1.42,3.65,
110100001,3221,,active,weak,weak,repressed,0,39,1.058823529,2.941426929,
110100010,3221,,active,weak,repressed,repressed,0,44,1.411764706,2.903830911,
110100100,3221,,active,weak,poised,repressed,0,4,1,0.693147181,
110101000.00,3221,IV,active,weak,active,repressed,0,52,1.58,3.00,
111000001,3221,,active,weak,weak,poised,0,2,1,0,
111000100,3221,,active,weak,poised,poised,0,1,0,0,
111001000,3221,,active,weak,active,poised,0,3,1,0.405465108,
120000001,3221,,active,weak,weak,active,0,33,1.2,2.708050201,
120000010,3221,,active,weak,repressed,active,0,19,1.111111111,2.197224577,
120000100,3221,,active,weak,poised,active,0,4,0,1.386294361,
120001000.00,3221,IV,active,weak,active,active,0,121,1.83,3.75,
200020000,2211,,weak,weak,weak,weak,0.976,35,56.7,-0.499909112,
200110000,2211,,weak,repressed,weak,weak,1,75,200.55,-0.988549376,
200200000,2211,,weak,repressed,repressed,weak,1,47,176.05,-1.326284577,
201010000,2211,,weak,poised,weak,weak,0.812,4,7.183299389,-0.715801056,
201100000,2211,,weak,poised,repressed,weak,0.986,4,12.794,-1.237939354,
210010000,2211,,weak,active,weak,weak,0.94,165,195.122,-0.172791441,
210100000,2211,,weak,active,repressed,weak,1,115,345.234,-1.102182719,
211000000,2211,,weak,active,poised,weak,0.944,6,12.316,-0.79720685,
220000000,2211,,weak,active,active,weak,1,110,167.804,-0.428257913,
300000001,3111,,weak,weak,weak,weak,0.512,20,20.238,-0.060059756,
300000010,3111,,weak,weak,weak,repressed,0.996,16,36.134,-0.84194427,
300000100,3111,,weak,weak,weak,poised,0.692,1,2.231213873,-1.172857879,
300001000,3111,,weak,weak,weak,active,0.222,51,43.552,0.135168586,
1000020001,3221,,weak,repressed,weak,weak,0,12,2,1.386294361,
1000020010,3221,,weak,repressed,repressed,weak,0,30,1.5,2.48490665,
1000021000,3221,,weak,repressed,active,weak,0,24,1.333333333,2.33075597,
1000110001.00,3221,IV,repressed,repressed,weak,weak,0,52,1.88,2.90,
1000110010.00,3221,IV,repressed,repressed,repressed,weak,0,138,1.80,3.90,
1000110100,3221,,repressed,repressed,poised,weak,0,9,1,1.504077397,
1000111000.00,3221,IV,repressed,repressed,active,weak,0,53,1.63,3.01,
1000200001.00,3221,IV,repressed,repressed,weak,repressed,0,59,1.59,3.13,
1000200010.00,3221,IV,repressed,repressed,repressed,repressed,0,223,2.06,4.29,
1000200100,3221,,repressed,repressed,poised,repressed,0,9,1.333333333,1.349926717,
1000201000,3221,,repressed,repressed,active,repressed,0,45,1.64516129,2.833930447,
1001010001,3221,,poised,repressed,weak,weak,0,1,0,0,
1001010010,3221,,poised,repressed,repressed,weak,0,4,0,1.386294361,
1001011000,3221,,poised,repressed,active,weak,0,4,0,1.386294361,
1001100001,3221,,poised,repressed,weak,repressed,0,2,1,0,
1001100010,3221,,poised,repressed,repressed,repressed,0,9,2,1.098612289,
1001101000,3221,,poised,repressed,active,repressed,0,1,0,0,
1002000010,3221,,poised,repressed,repressed,poised,0,1,0,0,
1010010001.00,3221,IV,active,repressed,weak,weak,0,56,1.75,3.01,
1010010010.00,3221,IV,active,repressed,repressed,weak,0,62,1.56,3.19,
1010011000.00,3221,IV,active,repressed,active,weak,0,84,2.15,3.28,
1010100001,3221,,active,repressed,weak,repressed,0,49,1.470588235,2.987364024,
1010100010.00,3221,IV,active,repressed,repressed,repressed,0,117,1.83,3.72,
1010100100,3221,,active,repressed,poised,repressed,0,2,0,0.693147181,
1010101000.00,3221,IV,active,repressed,active,repressed,0,74,1.83,3.27,
1011000010,3221,,active,repressed,repressed,poised,0,1,0,0,
1011001000,3221,,active,repressed,active,poised,0,7,1.5,1.029619417,
1020000001,3221,,active,repressed,weak,active,0,37,1.416666667,2.728528732,
1020000010,3221,,active,repressed,repressed,active,0,47,1.1875,3.067388262,
1020001000.00,3221,IV,active,repressed,active,active,0,81,2.76,3.07,
1100020000,2211,,repressed,weak,weak,weak,1,73,222.564,-1.119238285,
1100110000,2211,,repressed,repressed,weak,weak,1,287,790.156,-1.014012951,
1100200000,2211,,repressed,repressed,repressed,weak,1,272,694.294,-0.938532711,
1101010000,2211,,repressed,poised,weak,weak,0.972,13,28.302,-0.812706416,
1101100000,2211,,repressed,poised,repressed,weak,0.914,35,49.656,-0.369709622,
1102000000,2211,,repressed,poised,poised,weak,0.308,1,2.188311688,-1.159491525,
1110010000,2211,,repressed,active,weak,weak,1,277,768.764,-1.022066468,
1110100000,2211,,repressed,active,repressed,weak,1,320,1355.302,-1.444196162,
1111000000,2211,,repressed,active,poised,weak,1,16,48.588,-1.131160147,
1120000000,2211,,repressed,active,active,weak,1,184,659.924,-1.278703098,
1200000001,3111,,repressed,weak,weak,weak,1,54,119.138,-0.799657035,
1200000010,3111,,repressed,weak,weak,repressed,1,74,212.656,-1.060302152,
1200000100,3111,,repressed,weak,weak,poised,0.948,3,8.763527054,-1.180041425,
1200001000,3111,,repressed,weak,weak,active,1,96,255.32,-0.982078472,
2000020000,2211,,repressed,weak,weak,repressed,1,52,217.67,-1.436320025,
2000110000,2211,,repressed,repressed,weak,repressed,1,295,777.596,-0.970516941,
2000200000,2211,,repressed,repressed,repressed,repressed,0.982,569,680.248,-0.180045976,
2001010000,2211,,repressed,poised,weak,repressed,0.998,8,28.182,-1.294110539,
2001100000,2211,,repressed,poised,repressed,repressed,0.236,58,48.448,0.159521398,
2002000000,2211,,repressed,poised,poised,repressed,0.222,2,2.5125,-0.563180854,
2010010000,2211,,repressed,active,weak,repressed,1,144,757.392,-1.661387103,
2010100000,2211,,repressed,active,repressed,repressed,1,284,1333.426,-1.547282278,
2011000000,2211,,repressed,active,poised,repressed,1,12,46.878,-1.383749459,
2020000000,2211,,repressed,active,active,repressed,1,97,654.36,-1.910473724,
2100000001,3111,,repressed,repressed,weak,weak,1,81,235.466,-1.07135528,
2100000010,3111,,repressed,repressed,weak,repressed,1,200,419.506,-0.743141381,
2100000100,3111,,repressed,repressed,weak,poised,0.916,9,17.056,-0.696253462,
2100001000,3111,,repressed,repressed,weak,active,1,115,499.938,-1.471550213,
3000000001,3111,,repressed,repressed,repressed,weak,1,57,154.956,-1.006522648,
3000000010,3111,,repressed,repressed,repressed,repressed,0.162,305,273.71,0.104595781,
3000000100,3111,,repressed,repressed,repressed,poised,0.204,16,11.234,0.268369761,
3000001000,3111,,repressed,repressed,repressed,active,1,66,327.544,-1.605016029,
10000020010,3221,,weak,poised,repressed,weak,0,2,1,0,
10000110010,3221,,repressed,poised,repressed,weak,0,6,1,1.098612289,
10000200001,3221,,repressed,poised,weak,repressed,0,2,0,0.693147181,
10000200010,3221,,repressed,poised,repressed,repressed,0,5,1,0.916290732,
10000201000,3221,,repressed,poised,active,repressed,0,2,1,0,
10001100010,3221,,poised,poised,repressed,repressed,0,2,0,0.693147181,
10010010001,3221,,active,poised,weak,weak,0,2,0,0.693147181,
10010010010,3221,,active,poised,repressed,weak,0,4,1,0.693147181,
10010011000,3221,,active,poised,active,weak,0.002,1,1,-0.693147181,
10010100001,3221,,active,poised,weak,repressed,0,2,1,0,
10010100010,3221,,active,poised,repressed,repressed,0,5,0,1.609437912,
10010101000,3221,,active,poised,active,repressed,0.004,1,1,-0.693147181,
10020000001,3221,,active,poised,weak,active,0,1,0,0,
10020001000,3221,,active,poised,active,active,0,3,1,0.405465108,
10100020000,2211,,poised,weak,weak,weak,0.648,5,5.899193548,-0.321966615,
10100110000,2211,,poised,repressed,weak,weak,0.998,8,20.722,-0.99888403,
10100200000,2211,,poised,repressed,repressed,weak,0.972,10,17.86,-0.634458184,
10101010000,2211,,poised,poised,weak,weak,0.376,1,1.734042553,-1.005781303,
10101100000,2211,,poised,poised,repressed,weak,0.568,1,2.10915493,-1.134350962,
10110010000,2211,,poised,active,weak,weak,0.974,11,20.232,-0.657614205,
10110100000,2211,,poised,active,repressed,weak,1,6,35.39,-1.802534542,
10120000000,2211,,poised,active,active,weak,0.988,8,16.99,-0.810374506,
10200000001,3111,,poised,weak,weak,weak,0.932,1,3.489270386,-1.501690191,
10200000010,3111,,poised,weak,weak,repressed,0.574,5,5.729292929,-0.297032163,
10200001000,3111,,poised,weak,weak,active,0.994,1,6.839034205,-2.059115639,
11000020000,2211,,poised,weak,weak,repressed,0.922,6,11.578,-0.740189787,
11000110000,2211,,poised,repressed,weak,repressed,0.998,20,41.296,-0.748960245,
11000200000,2211,,poised,repressed,repressed,repressed,0.71,31,35.472,-0.162557638,
11001100000,2211,,poised,poised,repressed,repressed,0.112,6,3.353424658,0.320796656,
11010010000,2211,,poised,active,weak,repressed,1,6,40.024,-1.922397792,
11010100000,2211,,poised,active,repressed,repressed,1,18,68.49,-1.350811099,
11020000000,2211,,poised,active,active,repressed,1,6,33.458,-1.747981722,
11100000001,3111,,poised,repressed,weak,weak,0.71,10,12.414,-0.293713845,
11100000010,3111,,poised,repressed,weak,repressed,0.698,18,21.618,-0.228374292,
11100000100,3111,,poised,repressed,weak,poised,0.342,1,2.350877193,-1.20922216,
11100001000,3111,,poised,repressed,weak,active,0.998,7,25.752,-1.340699088,
12000000001,3111,,poised,repressed,repressed,weak,0.63,10,12.222,-0.279297016,
12000000010,3111,,poised,repressed,repressed,repressed,0.676,18,21.372,-0.217438419,
12000001000,3111,,poised,repressed,repressed,active,0.998,9,25.208,-1.06884013,
20000200000,2211,,poised,repressed,repressed,poised,0.002,5,1.243093923,0.801581784,
20010100000,2211,,poised,active,repressed,poised,0.584,1,1.489726027,-0.912172675,
20100000010,3111,,poised,poised,weak,repressed,0.222,1,1.468468468,-0.903597905,
21000000010,3111,,poised,poised,repressed,repressed,0.32,1,1.73125,-1.00475938,
1E+11,3221,,weak,active,weak,weak,0,24,1.666666667,2.197224577,
1E+11,3221,,weak,active,repressed,weak,0,18,1,2.197224577,
1E+11,3221,,weak,active,poised,weak,0,2,0,0.693147181,
1E+11,3221,,weak,active,active,weak,0,36,1.333333333,2.736221078,
1E+11,3221,,repressed,active,weak,weak,0,27,2,2.197224577,
100000110010.00,3221,IV,repressed,active,repressed,weak,0,74,1.80,3.27,
1E+11,3221,,repressed,active,poised,weak,0,3,1,0.405465108,
100000111000.00,3221,IV,repressed,active,active,weak,0,60,1.61,3.14,
1E+11,3221,,repressed,active,weak,repressed,0,39,1.166666667,2.890371758,
100000200010.00,3221,IV,repressed,active,repressed,repressed,0,59,1.71,3.08,
1E+11,3221,,repressed,active,poised,repressed,0,4,1,0.693147181,
1E+11,3221,,repressed,active,active,repressed,0,44,1.258064516,2.969681596,
1.00001E+11,3221,,poised,active,weak,weak,0,1,0,0,
1.00001E+11,3221,,poised,active,repressed,weak,0.004,1,1,-0.693147181,
1.00001E+11,3221,,poised,active,active,weak,0,5,2,0.510825624,
1.00001E+11,3221,,poised,active,weak,repressed,0.002,1,2,-1.098612289,
1.00001E+11,3221,,poised,active,repressed,repressed,0.002,1,2,-1.098612289,
1.00001E+11,3221,,poised,active,poised,repressed,0,1,0,0,
1.00001E+11,3221,,poised,active,active,repressed,0,4,0,1.386294361,
100010010001.00,3221,IV,active,active,weak,weak,0,63,1.38,3.28,
100010010010.00,3221,IV,active,active,repressed,weak,0,60,1.25,3.28,
1.0001E+11,3221,,active,active,poised,weak,0.002,2,2,-0.405465108,
100010011000.00,3221,IV,active,active,active,weak,0,118,1.69,3.78,
1.0001E+11,3221,,active,active,weak,repressed,0,38,1.1,2.895648815,
100010100010.00,3221,IV,active,active,repressed,repressed,0,68,1.47,3.31,
100010101000.00,3221,IV,active,active,active,repressed,0,85,2.00,3.34,
1.00011E+11,3221,,active,active,weak,poised,0,1,0,0,
1.00011E+11,3221,,active,active,repressed,poised,0,1,0,0,
1.00011E+11,3221,,active,active,active,poised,0,7,2,0.84729786,
1.0002E+11,3221,,active,active,weak,active,0,36,1.666666667,2.602689685,
1.0002E+11,3221,,active,active,repressed,active,0,31,1.153846154,2.666732052,
100020001000.00,3221,IV,active,active,active,active,0,377,2.80,4.60,
1.001E+11,2211,,active,weak,weak,weak,1,98,171.914,-0.567826882,
1.001E+11,2211,,active,repressed,weak,weak,1,204,610.756,-1.098213516,
1.001E+11,2211,,active,repressed,repressed,weak,1,132,537.1,-1.405242494,
1.00101E+11,2211,,active,poised,weak,weak,0.934,12,21.766,-0.640361545,
1.00101E+11,2211,,active,poised,repressed,weak,1,12,38.84,-1.199964783,
1.00102E+11,2211,,active,poised,poised,weak,0.3,1,2.2,-1.16315081,
1.0011E+11,2211,,active,active,weak,weak,1,394,594.796,-0.413547417,
1.0011E+11,2211,,active,active,repressed,weak,1,300,1047.336,-1.25117695,
1.00111E+11,2211,,active,active,poised,weak,0.98,19,37.016,-0.693568145,
1.0012E+11,2211,,active,active,active,weak,1,361,510.392,-0.348258461,
1.002E+11,3111,,active,weak,weak,weak,0.828,78,92.13,-0.17728754,
1.002E+11,3111,,active,weak,weak,repressed,1,77,164.786,-0.766892378,
1.002E+11,3111,,active,weak,weak,poised,0.586,6,6.875251509,-0.271965653,
1.002E+11,3111,,active,weak,weak,active,0.986,149,195.56,-0.277021422,
1.01E+11,2211,,active,weak,weak,repressed,1,91,338.83,-1.317585986,
1.01E+11,2211,,active,repressed,weak,repressed,1,327,1200.47,-1.301340915,
1.01E+11,2211,,active,repressed,repressed,repressed,1,376,1056.024,-1.033623548,
1.01001E+11,2211,,active,poised,weak,repressed,1,16,42.73,-1.005445643,
1.01001E+11,2211,,active,poised,repressed,repressed,1,31,74.908,-0.895534876,
1.01002E+11,2211,,active,poised,poised,repressed,0.3,2,2.720720721,-0.620770211,
1.0101E+11,2211,,active,active,weak,repressed,1,331,1164.818,-1.25905989,
1.0101E+11,2211,,active,active,repressed,repressed,1,433,2059.224,-1.559832266,
1.01011E+11,2211,,active,active,poised,repressed,1,21,71.75,-1.242506468,
1.0102E+11,2211,,active,active,active,repressed,1,334,1011.662,-1.109196793,
1.011E+11,3111,,active,repressed,weak,weak,1,110,364.112,-1.19972379,
1.011E+11,3111,,active,repressed,weak,repressed,1,228,649.496,-1.04838952,
1.011E+11,3111,,active,repressed,weak,poised,1,5,26.568,-1.707217767,
1.011E+11,3111,,active,repressed,weak,active,1,249,771.566,-1.132264546,
1.02E+11,3111,,active,repressed,repressed,weak,1,121,358.656,-1.089357473,
1.02E+11,3111,,active,repressed,repressed,repressed,1,256,637.728,-0.914301254,
1.02E+11,3111,,active,repressed,repressed,poised,0.994,11,26.156,-0.903702744,
1.02E+11,3111,,active,repressed,repressed,active,1,172,760.436,-1.487711647,
1.1E+11,2211,,active,weak,weak,poised,0.808,6,9.03,-0.513821133,
1.1E+11,2211,,active,repressed,weak,poised,0.986,18,31.766,-0.599019635,
1.1E+11,2211,,active,repressed,repressed,poised,1,12,27.304,-0.858096488,
1.10001E+11,2211,,active,poised,weak,poised,0.044,5,2.315068493,0.410959627,
1.10001E+11,2211,,active,poised,repressed,poised,0.318,3,2.852071006,-0.249998639,
1.1001E+11,2211,,active,active,weak,poised,0.916,22,30.71,-0.365589635,
1.1001E+11,2211,,active,active,repressed,poised,1,10,53.478,-1.695211857,
1.1002E+11,2211,,active,active,active,poised,0.994,10,25.93,-0.990655814,
1.101E+11,3111,,active,poised,weak,weak,0.776,7,9.825301205,-0.435975949,
1.101E+11,3111,,active,poised,weak,repressed,0.85,11,17.104,-0.498237636,
1.101E+11,3111,,active,poised,weak,poised,0.304,1,2.092105263,-1.128852174,
1.101E+11,3111,,active,poised,weak,active,0.974,8,19.734,-0.952333323,
1.11E+11,3111,,active,poised,repressed,weak,0.982,8,19.212,-0.926834946,
1.11E+11,3111,,active,poised,repressed,repressed,0.998,13,33.252,-0.9687956,
1.11E+11,3111,,active,poised,repressed,poised,0.32,2,2.990950226,-0.690882174,
1.11E+11,3111,,active,poised,repressed,active,0.99,18,38.734,-0.791835486,
1.2E+11,3111,,active,poised,poised,repressed,0.268,1,1.664179104,-0.979895982,
2E+11,2211,,active,weak,weak,active,1,57,130.246,-0.834022157,
2E+11,2211,,active,repressed,weak,active,1,135,461.344,-1.231034424,
2E+11,2211,,active,repressed,repressed,active,1,86,406.776,-1.556370708,
2.00001E+11,2211,,active,poised,weak,active,0.984,6,16.554,-1.073522375,
2.00001E+11,2211,,active,poised,repressed,active,1,8,29.21,-1.328731454,
2.0001E+11,2211,,active,active,weak,active,1,280,448.81,-0.474035668,
2.0001E+11,2211,,active,active,repressed,active,1,201,797.01,-1.378816221,
2.00011E+11,2211,,active,active,poised,active,1,4,27.996,-1.980863528,
200020000000.00,2211,VI,active,active,active,active,0,793,390.43,0.71,
2.001E+11,3111,,active,active,weak,weak,0.922,114,139.954,-0.212235148,
2.001E+11,3111,,active,active,weak,repressed,1,93,251.728,-0.999714318,
2.001E+11,3111,,active,active,weak,poised,0.94,4,10.25250501,-1.03429641,
2.001E+11,3111,,active,active,weak,active,0.908,257,297.232,-0.148795622,
2.01E+11,3111,,active,active,repressed,weak,1,102,274.554,-0.993810803,
2.01E+11,3111,,active,active,repressed,repressed,1,148,494.278,-1.207906947,
2.01E+11,3111,,active,active,repressed,poised,1,1,20.144,-3.051356177,
2.01E+11,3111,,active,active,repressed,active,1,186,591.144,-1.158003175,
2.1E+11,3111,,active,active,poised,weak,0.856,4,7.450704225,-0.747955417,
2.1E+11,3111,,active,active,poised,repressed,0.984,4,12.796,-1.238084334,
2.1E+11,3111,,active,active,poised,active,0.938,8,14.744,-0.677017799,
3E+11,3111,,active,active,active,weak,0.682,63,70.298,-0.12373355,
3E+11,3111,,active,active,active,repressed,1,51,125.856,-0.911226952,
300000001000.00,3111,V,active,active,active,active,0,320,152.17,0.74,